iter	RMSE
0	0.4911089778
1	0.4702822597
2	0.4510366042
3	0.4327966391
4	0.414993062
5	0.3982520095
6	0.3824029586
7	0.3676647327
8	0.3534457725
9	0.3400979778
10	0.3277847749
11	0.3155494009
12	0.3042776024
13	0.2934810488
14	0.2835980481
15	0.2741800068
16	0.2653765971
17	0.2569074896
18	0.2488626117
19	0.2415789031
20	0.2345527828
21	0.2280728023
22	0.2218131625
23	0.2160828752
24	0.2106666406
25	0.2058751063
26	0.2011932276
27	0.1967614352
28	0.1926937197
29	0.1888163338
30	0.1853856096
31	0.1819142431
32	0.1785667433
33	0.1756162276
34	0.172905331
35	0.1702156767
36	0.1675703071
37	0.1653179158
38	0.163114468
39	0.1610965368
40	0.1592317808
41	0.1576567037
42	0.1560850866
43	0.1543800399
44	0.152784364
45	0.1513457351
46	0.1501029028
47	0.1490144839
48	0.1479950327
49	0.1470680493
50	0.1461201792
51	0.1451707567
52	0.1444432452
53	0.1437817157
54	0.1429805264
55	0.1422732401
56	0.1416156536
57	0.1409989037
58	0.140433178
59	0.1399202135
60	0.1394380042
61	0.1391029846
62	0.1386902376
63	0.1383239303
64	0.1378989167
65	0.1374616286
66	0.1371914455
67	0.1369451336
68	0.1367093135
69	0.1364054617
70	0.136201169
71	0.135951233
72	0.1357311439
73	0.1355508153
74	0.1352620157
75	0.1350782486
76	0.1348802587
77	0.1346770073
78	0.1344816998
79	0.1343266406
80	0.1341961828
81	0.1340343515
82	0.1338331037
83	0.1336822914
84	0.1335785292
85	0.1334350071
86	0.1333230229
87	0.1331307124
88	0.1329852821
89	0.1328222434
90	0.1327101344
91	0.1326290113
92	0.1325416627
93	0.1323655821
94	0.1322517181
95	0.1321553921
96	0.1320680722
97	0.1319993934
98	0.131922909
99	0.1318349135
100	0.1317602746
101	0.1316542604
102	0.1315924757
103	0.1315346599
104	0.1313857319
105	0.1313006679
106	0.1312333354
107	0.1311277559
108	0.1310528432
109	0.1309870982
110	0.1309494166
111	0.1309076446
112	0.130852381
113	0.1307581139
114	0.1307005562
115	0.1306206333
116	0.1305733632
117	0.1305091803
118	0.1304746103
119	0.1304199484
120	0.1303854433
121	0.1303322976
122	0.1302917509
123	0.1302294782
124	0.1301709863
125	0.1301355018
126	0.1300528368
127	0.1300209659
128	0.1299769846
129	0.1298941193
130	0.1298508643
131	0.1298027378
132	0.1297590816
133	0.1297327303
134	0.1297072284
135	0.12964215
136	0.1296181337
137	0.1295838223
138	0.1295228226
139	0.1294917536
140	0.1294352269
141	0.1294034886
142	0.1293800398
143	0.1293371486
144	0.1293159989
145	0.1292835096
146	0.1292649619
147	0.1292353723
148	0.1292036942
149	0.1291322559
150	0.1291052068
151	0.1290751729
152	0.1290673352
153	0.1290470649
154	0.1290088901
155	0.1289423319
156	0.1289085311
157	0.1288820727
158	0.128848869
159	0.1288328259
160	0.1287972972
161	0.1287789666
162	0.1287582469
163	0.1287344219
164	0.1287133668
165	0.1286890138
166	0.128668508
167	0.1286370903
168	0.1285860174
169	0.1285677755
170	0.1285461124
171	0.1285064857
172	0.1284781651
173	0.1284579041
174	0.1284392669
175	0.1284073209
176	0.1283846496
177	0.1283304385
178	0.1283113359
179	0.1282485765
180	0.1282178896
181	0.1281944839
182	0.1281749354
183	0.1281579063
184	0.1281245038
185	0.1280926121
186	0.1280771231
187	0.1280466142
188	0.1280191475
189	0.128001139
190	0.1279812263
191	0.1279666161
192	0.1279397203
193	0.1279199236
194	0.1278977933
195	0.1278707819
196	0.1278349686
197	0.1278000814
198	0.1277649181
199	0.1277497394
200	0.127732143
201	0.1277122128
202	0.1276864397
203	0.1276523389
204	0.1276324868
205	0.1275991283
206	0.1275750093
207	0.1275358824
208	0.1275252178
209	0.1275112821
210	0.1274735031
211	0.1274543828
212	0.1274334704
213	0.1274172806
214	0.1273984337
215	0.1273842702
216	0.1273515339
217	0.1273194008
218	0.1273028235
219	0.1272747697
220	0.1272521994
221	0.1272314692
222	0.1272203422
223	0.1271933512
224	0.1271748693
225	0.1271627358
226	0.127144369
227	0.1271237486
228	0.1271024969
229	0.1270705613
230	0.1270485844
231	0.1270208121
232	0.1270034097
233	0.1269825807
234	0.1269576486
235	0.1269344325
236	0.1269059489
237	0.1268794036
238	0.1268605035
239	0.1268299442
240	0.1268065051
241	0.1267889163
242	0.1267696288
243	0.126735654
244	0.1267105379
245	0.1266924899
246	0.1266775378
247	0.1266572573
248	0.1266422232
249	0.1266187209
250	0.1265989641
251	0.1265793153
252	0.1265630573
253	0.1265460935
254	0.1265329494
255	0.1265183177
256	0.1265047227
257	0.1264946541
258	0.1264671079
259	0.1264465536
260	0.1264295434
261	0.1264202252
262	0.1263937044
263	0.126377223
264	0.1263419921
265	0.1263190191
266	0.1262912889
267	0.1262758403
268	0.1262669026
269	0.1262490945
270	0.1262266683
271	0.1262098642
272	0.1261726557
273	0.1261541753
274	0.1261404643
275	0.1261206513
276	0.1261079281
277	0.1260840607
278	0.1260553545
279	0.1260377488
280	0.1260281488
281	0.1260076374
282	0.1259977743
283	0.1259660018
284	0.1259537436
285	0.1259406045
286	0.1259233405
287	0.1258903615
288	0.1258756989
289	0.1258633356
290	0.1258496895
291	0.1258369125
292	0.1258133144
293	0.125798637
294	0.1257788148
295	0.1257683518
296	0.1257607767
297	0.1257501167
298	0.1257271145
299	0.1257052117
300	0.1256964856
301	0.1256810876
302	0.1256636188
303	0.1256369778
304	0.1256229215
305	0.1255981745
306	0.1255872039
307	0.1255608989
308	0.1255522019
309	0.125531317
310	0.1255134883
311	0.1254992575
312	0.1254791388
313	0.1254648081
314	0.1254500537
315	0.1254304825
316	0.1254028166
317	0.1253828928
318	0.125369309
319	0.1253609996
320	0.1253528445
321	0.125336455
322	0.1253240151
323	0.125300184
324	0.1252862609
325	0.1252690172
326	0.1252430784
327	0.1252354343
328	0.1252244104
329	0.1252086541
330	0.1251945895
331	0.125170868
332	0.1251431278
333	0.125126335
334	0.1251027275
335	0.1250852268
336	0.1250805967
337	0.1250689692
338	0.125052689
339	0.1250409457
340	0.1250157378
341	0.1249989706
342	0.1249811855
343	0.1249618992
344	0.1249420968
345	0.1249254292
346	0.1249050268
347	0.124896587
348	0.1248886457
349	0.1248782101
350	0.1248684282
351	0.1248561039
352	0.1248442999
353	0.1248279755
354	0.124820498
355	0.1247994047
356	0.1247778654
357	0.124770594
358	0.1247555607
359	0.1247469662
360	0.1247286188
361	0.124713511
362	0.1246860385
363	0.1246598895
364	0.1246516009
365	0.124627127
366	0.1246204267
367	0.1246075118
368	0.124583971
369	0.1245726299
370	0.1245580512
371	0.1245422683
372	0.1245228687
373	0.1244985491
374	0.1244870273
375	0.1244785074
376	0.1244691168
377	0.1244555861
378	0.1244377141
379	0.124428933
380	0.1244165367
381	0.1244039654
382	0.1243779962
383	0.1243720059
384	0.1243609001
385	0.1243345748
386	0.1243274119
387	0.1243150119
388	0.1243030046
389	0.1242859032
390	0.1242781246
391	0.1242612058
392	0.1242336045
393	0.1242126233
394	0.1242045428
395	0.1241854228
396	0.1241740769
397	0.1241599594
