iter	Passed	Remaining
0	55	55704
1	57	28744
2	59	19709
3	61	15223
4	62	12508
5	64	10695
6	66	9400
7	67	8431
8	69	7661
9	71	7046
10	72	6540
11	74	6122
12	75	5762
13	77	5456
14	79	5188
15	81	4990
16	82	4780
17	84	4603
18	85	4432
19	87	4277
20	88	4141
21	90	4017
22	92	3911
23	93	3818
24	95	3725
25	97	3639
26	98	3554
27	100	3478
28	101	3407
29	103	3339
30	104	3276
31	106	3220
32	108	3167
33	109	3113
34	111	3063
35	112	3018
36	114	2974
37	115	2931
38	117	2889
39	118	2851
40	120	2814
41	121	2777
42	123	2744
43	124	2713
44	126	2687
45	128	2658
46	130	2636
47	131	2609
48	133	2585
49	134	2560
50	136	2537
51	137	2513
52	139	2491
53	141	2472
54	142	2452
55	144	2431
56	145	2412
57	147	2392
58	149	2376
59	150	2357
60	152	2340
61	153	2324
62	155	2307
63	156	2292
64	158	2277
65	159	2263
66	161	2247
67	163	2234
68	164	2221
69	166	2207
70	167	2194
71	169	2181
72	170	2168
73	172	2156
74	173	2145
75	175	2134
76	177	2123
77	178	2112
78	180	2101
79	181	2090
80	183	2080
81	184	2068
82	186	2058
83	187	2050
84	189	2040
85	191	2030
86	192	2020
87	194	2011
88	195	2002
89	197	1993
90	198	1984
91	200	1977
92	202	1970
93	203	1962
94	205	1955
95	206	1948
96	208	1939
97	209	1931
98	211	1924
99	212	1916
100	214	1909
101	216	1902
102	217	1894
103	219	1888
104	220	1882
105	222	1874
106	223	1868
107	225	1862
108	227	1856
109	228	1850
110	230	1844
111	231	1838
112	233	1832
113	234	1826
114	236	1819
115	238	1813
116	239	1807
117	241	1802
118	242	1796
119	244	1791
120	245	1786
121	247	1779
122	248	1774
123	250	1769
124	252	1764
125	253	1759
126	255	1753
127	256	1748
128	258	1743
129	259	1738
130	261	1733
131	262	1728
132	264	1723
133	265	1718
134	267	1713
135	268	1708
136	270	1703
137	271	1697
138	273	1693
139	274	1689
140	276	1684
141	278	1680
142	279	1676
143	281	1671
144	282	1667
145	284	1662
146	285	1658
147	287	1654
148	288	1649
149	290	1646
150	292	1642
151	293	1637
152	294	1629
153	295	1625
154	297	1621
155	298	1616
156	300	1612
157	301	1608
158	303	1603
159	305	1603
160	307	1600
161	308	1596
162	310	1592
163	311	1588
164	313	1588
165	315	1584
166	316	1581
167	318	1577
168	320	1573
169	321	1569
170	323	1566
171	324	1561
172	325	1558
173	327	1554
174	328	1550
175	330	1548
176	332	1544
177	333	1541
178	335	1538
179	337	1535
180	338	1532
181	340	1529
182	341	1526
183	343	1523
184	344	1519
185	346	1516
186	347	1512
187	349	1510
188	351	1507
189	352	1504
190	354	1501
191	356	1498
192	357	1496
193	359	1493
194	360	1489
195	362	1486
196	363	1482
197	365	1479
198	366	1476
199	368	1473
200	369	1470
201	371	1468
202	373	1465
203	374	1462
204	376	1459
205	377	1456
206	379	1453
207	380	1450
208	382	1447
209	383	1444
210	385	1440
211	386	1437
212	392	1449
213	393	1446
214	395	1443
215	396	1439
216	398	1438
217	400	1435
218	401	1432
219	403	1429
220	404	1425
221	406	1422
222	407	1421
223	409	1418
224	411	1416
225	412	1414
226	414	1411
227	416	1409
228	417	1406
229	419	1403
230	420	1400
231	422	1397
232	423	1394
233	425	1391
234	426	1388
235	428	1386
236	430	1384
237	433	1386
238	434	1383
239	435	1380
240	437	1377
241	439	1375
242	440	1372
243	442	1369
244	443	1367
245	445	1364
246	446	1362
247	448	1359
248	449	1356
249	451	1353
250	452	1351
251	454	1348
252	458	1353
253	459	1350
254	461	1348
255	463	1345
256	476	1378
257	478	1376
258	480	1373
259	481	1370
260	483	1367
261	484	1364
262	486	1362
263	487	1359
264	489	1356
265	490	1354
266	492	1351
267	493	1349
268	495	1346
269	497	1344
270	508	1368
271	510	1365
272	511	1362
273	513	1360
274	514	1357
275	516	1354
276	517	1350
277	519	1348
278	522	1350
279	524	1347
280	525	1345
281	527	1343
282	529	1340
283	530	1337
284	532	1335
285	533	1332
286	535	1329
287	536	1326
288	538	1323
289	539	1320
290	540	1317
291	542	1315
292	543	1312
293	545	1309
294	546	1307
295	548	1304
296	549	1301
297	551	1298
298	552	1296
299	554	1293
300	555	1290
301	557	1288
302	558	1285
303	560	1282
304	562	1280
305	563	1278
306	565	1275
