kf_job_reference,project_id,property_age,roof_type,walls_construction_type,windows_glazing,final_floor_insulation_type,final_walls_depth,property_floor_type,roof_insulation_thickness,walls_insulation,wall_insulation_mm,epc_loft_insulation_impact,ashp_survey_total_property_heatloss_w,ashp_survey_total_floor_area_sqm
J-A8D17B5E,1176580a-8fa7-4b16-96fc-7c4809b8fbcf,HEAT_PUMP_SURVEY_PROPERTY_AGE_PRE_1960,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_SOLID,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_0,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_CONCRETE_SLAB,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,HEAT_PUMP_SURVEY_MATERIAL_WALLS_INSULATION_TYPE_INSULATED,null,0,11046,173.3
J-FDEF2283,d1dfd24d-284c-4b54-91b1-3257e91864f2,HEAT_PUMP_SURVEY_PROPERTY_AGE_BETWEEN_1960_2000,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_TIMBER_FRAME,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_0,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_CONCRETE_SLAB,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,0,null,0,11981,237.6
J-BB05B52A,bdbf44dd-8cf2-4958-bc09-a2572b5d47fa,HEAT_PUMP_SURVEY_PROPERTY_AGE_POST_2008,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_100,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_CONCRETE_SLAB,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,HEAT_PUMP_SURVEY_MATERIAL_WALLS_INSULATION_TYPE_INSULATED,null,0,5907,201.3
J-24E1692F,dc3c011f-de67-43b6-ac3e-1050f738b03c,HEAT_PUMP_SURVEY_PROPERTY_AGE_BETWEEN_2000_2008,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_0,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_200,HEAT_PUMP_SURVEY_MATERIAL_WALLS_INSULATION_TYPE_OPEN_CAVITY,null,0,2659,33.3
J-33780555,f2a65a48-a537-434b-b989-40d1a98f9170,HEAT_PUMP_SURVEY_PROPERTY_AGE_POST_2008,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE_LOW_E,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_100,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,HEAT_PUMP_SURVEY_MATERIAL_WALLS_INSULATION_TYPE_INSULATED,null,0,6287,188.8
J-7CB3AC00,bc2e5537-c8cd-476f-ad80-d54d5a208817,HEAT_PUMP_SURVEY_PROPERTY_AGE_BETWEEN_2000_2008,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_50,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,HEAT_PUMP_SURVEY_MATERIAL_WALLS_INSULATION_TYPE_INSULATED,null,0,3189,65.0
J-E4D15B45,a71d7189-cc20-497e-b997-fad94dce341a,HEAT_PUMP_SURVEY_PROPERTY_AGE_BETWEEN_1960_2000,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_50,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_200,HEAT_PUMP_SURVEY_MATERIAL_WALLS_INSULATION_TYPE_INSULATED,null,0,9319,151.5
J-186CBE27,1e9f011f-a378-4ecc-b1dd-cf5dfc95b471,HEAT_PUMP_SURVEY_PROPERTY_AGE_POST_2008,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_100,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_CONCRETE_SLAB,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_0,HEAT_PUMP_SURVEY_MATERIAL_WALLS_INSULATION_TYPE_INSULATED,null,0,5658,106.8
J-5949C0DB,088bd8d8-5665-430d-96a8-439fe8e9a67c,HEAT_PUMP_SURVEY_PROPERTY_AGE_POST_2008,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_TIMBER_FRAME,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE_LOW_E,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_0,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_CONCRETE_SLAB,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,HEAT_PUMP_SURVEY_MATERIAL_WALLS_INSULATION_TYPE_INSULATED,null,0,4005,114.3
J-05D201C2,9ca374f7-07d8-499e-b1aa-c2fa3236f745,HEAT_PUMP_SURVEY_PROPERTY_AGE_PRE_1960,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_SOLID,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_0,HEAT_PUMP_SURVEY_MATERIAL_WALLS_DEPTH_343,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_200,0,null,0,8000,67.5
